Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD11688,Delhi,Jamia Millia Islamia,2nd,Environmental Science,LinkedIn
LD11689,Mumbai,K. J. Somaiya College of Engineering,3rd,Robotics,College Collaboration
LD11690,Mumbai,Mithibai College,4th,Electric Vehicles,College Collaboration
LD11691,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD11692,Kolkata,Presidency University,2nd,Cybersecurity,Instagram
LD11693,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Electric Vehicles,Instagram
LD11694,Pune,MIT World Peace University,4th,Artificial Intelligence,Instagram
LD11695,Indore,Indian Institute of Management Indore (IIM-I),3rd,Robotics,LinkedIn
LD11696,Mumbai,University of Mumbai,1st,Environmental Science,Google Form
LD11697,Ahmedabad,Gujarat University,3rd,Robotics,LinkedIn
LD11698,Ahmedabad,Nirma University,2nd,Environmental Science,Instagram
LD11699,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Artificial Intelligence,Mass-Mailing
LD11700,Delhi,Jamia Millia Islamia,3rd,Robotics,Instagram
LD11701,Hyderabad,Indian School of Business (ISB),4th,Cybersecurity,College Collaboration
LD11702,Bengaluru,Bangalore Institute of Technology,4th,Electric Vehicles,LinkedIn
LD11703,Bengaluru,Bangalore Institute of Technology,3rd,Cybersecurity,LinkedIn
LD11704,Mumbai,St. Xavier's College,1st,Artificial Intelligence,College Collaboration
LD11705,Bengaluru,RV College of Engineering,4th,Artificial Intelligence,Google Form
LD11706,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Data Science,LinkedIn
LD11707,Delhi,University of Delhi,2nd,Business Administration,LinkedIn
LD11708,Delhi,Lady Shri Ram College for Women,2nd,Biotechnology,Mass-Mailing
LD11709,Pune,MIT World Peace University,3rd,Biotechnology,Instagram
LD11710,Ahmedabad,Gujarat University,4th,Data Science,Mass-Mailing
LD11711,Hyderabad,Osmania University,2nd,Biotechnology,Mass-Mailing
LD11712,Delhi,Jawaharlal Nehru University (JNU),3rd,Robotics,Whatsapp
LD11713,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Biotechnology,Google Form
LD11714,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Data Science,LinkedIn
LD11715,Ahmedabad,Nirma University,3rd,Data Science,LinkedIn
LD11716,Ahmedabad,Gujarat University,4th,Business Administration,LinkedIn
LD11717,Hyderabad,Indian School of Business (ISB),1st,Artificial Intelligence,LinkedIn
LD11718,Bengaluru,Christ University,1st,Environmental Science,LinkedIn
LD11719,Kolkata,Indian Statistical Institute,1st,Data Science,Google Form
LD11720,Ahmedabad,Nirma University,3rd,Cybersecurity,Mass-Mailing
LD11721,Ahmedabad,Gujarat University,3rd,Biotechnology,College Collaboration
LD11722,Hyderabad,Osmania University,4th,Biotechnology,College Collaboration
LD11723,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Biotechnology,Instagram
LD11724,Hyderabad,Indian School of Business (ISB),2nd,Cybersecurity,Whatsapp
LD11725,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Artificial Intelligence,College Collaboration
LD11726,Ahmedabad,Gujarat University,2nd,Data Science,Mass-Mailing
LD11727,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Data Science,College Collaboration
LD11728,Ahmedabad,Gujarat University,3rd,Business Administration,LinkedIn
LD11729,Delhi,Lady Shri Ram College for Women,4th,Cybersecurity,Google Form
LD11730,Mumbai,K. J. Somaiya College of Engineering,3rd,Business Administration,Google Form
LD11731,Chennai,Anna University,4th,Artificial Intelligence,College Collaboration
LD11732,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Business Administration,Instagram
LD11733,Chennai,Madras Christian College,2nd,Data Science,College Collaboration
LD11734,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Data Science,Mass-Mailing
LD11735,Ahmedabad,Gujarat University,2nd,Environmental Science,Google Form
LD11736,Hyderabad,Indian School of Business (ISB),3rd,Business Administration,Whatsapp
LD11737,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Data Science,College Collaboration
LD11738,Ahmedabad,Gujarat University,4th,Artificial Intelligence,LinkedIn
LD11739,Pune,Symbiosis International University,2nd,Data Science,Mass-Mailing
LD11740,Mumbai,K. J. Somaiya College of Engineering,2nd,Data Science,College Collaboration
LD11741,Chennai,Anna University,2nd,Environmental Science,College Collaboration
LD11742,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Business Administration,College Collaboration
LD11743,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Cybersecurity,Mass-Mailing
LD11744,Ahmedabad,Gujarat University,2nd,Robotics,Instagram
LD11745,Ahmedabad,Gujarat University,2nd,Data Science,LinkedIn
LD11746,Indore,Indian Institute of Management Indore (IIM-I),3rd,Electric Vehicles,Google Form
LD11747,Ahmedabad,Gujarat University,2nd,Robotics,College Collaboration
LD11748,Ahmedabad,Gujarat University,1st,Cybersecurity,Google Form
LD11749,Pune,Bharati Vidyapeeth Deemed University,1st,Environmental Science,Mass-Mailing
LD11750,Bengaluru,PES University,4th,Environmental Science,College Collaboration
LD11751,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,College Collaboration
LD11752,Kolkata,University of Calcutta,4th,Cybersecurity,LinkedIn
LD11753,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Electric Vehicles,LinkedIn
LD11754,Kolkata,Jadavpur University,4th,Environmental Science,LinkedIn
LD11755,Mumbai,Sardar Patel Institute of Technology,3rd,Cybersecurity,Mass-Mailing
LD11756,Ahmedabad,Nirma University,3rd,Robotics,Google Form
LD11757,Bengaluru,RV College of Engineering,1st,Data Science,LinkedIn
LD11758,Kolkata,Jadavpur University,2nd,Environmental Science,Mass-Mailing
LD11759,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Environmental Science,College Collaboration
LD11760,Delhi,Lady Shri Ram College for Women,3rd,Data Science,Google Form
LD11761,Kolkata,Jadavpur University,2nd,Business Administration,Instagram
LD11762,Kolkata,Jadavpur University,2nd,Data Science,LinkedIn
LD11763,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Robotics,Instagram
LD11764,Delhi,Jawaharlal Nehru University (JNU),4th,Robotics,LinkedIn
LD11765,Ahmedabad,Nirma University,2nd,Data Science,Mass-Mailing
LD11766,Delhi,Jamia Millia Islamia,2nd,Business Administration,Google Form
LD11767,Bengaluru,Christ University,3rd,Data Science,Mass-Mailing
LD11768,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Electric Vehicles,College Collaboration
LD11769,Bengaluru,Indian Institute of Science (IISc),2nd,Data Science,Google Form
LD11770,Delhi,University of Delhi,1st,Electric Vehicles,Mass-Mailing
LD11771,Mumbai,St. Xavier's College,4th,Artificial Intelligence,College Collaboration
LD11772,Mumbai,St. Xavier's College,3rd,Business Administration,LinkedIn
LD11773,Kolkata,University of Calcutta,2nd,Biotechnology,College Collaboration
LD11774,Chennai,Anna University,3rd,Business Administration,LinkedIn
LD11775,Ahmedabad,Gujarat University,2nd,Electric Vehicles,Google Form
LD11776,Pune,MIT World Peace University,4th,Environmental Science,College Collaboration
LD11777,Delhi,University of Delhi,4th,Robotics,LinkedIn
LD11778,Indore,Indian Institute of Management Indore (IIM-I),2nd,Cybersecurity,Instagram
LD11779,Kolkata,Presidency University,2nd,Environmental Science,LinkedIn
LD11780,Bengaluru,Indian Institute of Management Bangalore (IIM-B),3rd,Robotics,College Collaboration
LD11781,Delhi,Lady Shri Ram College for Women,1st,Environmental Science,Google Form
LD11782,Bengaluru,Indian Institute of Science (IISc),2nd,Cybersecurity,Google Form
LD11783,Ahmedabad,Gujarat University,1st,Environmental Science,Google Form
LD11784,Hyderabad,Osmania University,4th,Robotics,College Collaboration
LD11785,Pune,Symbiosis International University,2nd,Environmental Science,LinkedIn
LD11786,Mumbai,K. J. Somaiya College of Engineering,1st,Biotechnology,LinkedIn
LD11787,Bengaluru,PES University,2nd,Artificial Intelligence,Mass-Mailing
LD11788,Ahmedabad,Gujarat University,2nd,Cybersecurity,LinkedIn
LD11789,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Environmental Science,College Collaboration
LD11790,Ahmedabad,Nirma University,3rd,Data Science,Google Form
LD11791,Hyderabad,Osmania University,2nd,Cybersecurity,LinkedIn
LD11792,Indore,Devi Ahilya Vishwavidyalaya,3rd,Cybersecurity,College Collaboration
LD11793,Delhi,University of Delhi,2nd,Environmental Science,College Collaboration
LD11794,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,Instagram
LD11795,Jaipur,Rajasthan Technical University,4th,Cybersecurity,LinkedIn
LD11796,Chennai,SRM Institute of Science and Technology,4th,Data Science,Instagram
LD11797,Hyderabad,Jawaharlal Nehru Technological University (JNTU),1st,Biotechnology,Google Form
LD11798,Pune,MIT World Peace University,3rd,Environmental Science,Instagram
LD11799,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Business Administration,LinkedIn
LD11800,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Data Science,College Collaboration
LD11801,Ahmedabad,Gujarat University,3rd,Biotechnology,Mass-Mailing
LD11802,Hyderabad,University of Hyderabad,2nd,Cybersecurity,LinkedIn
LD11803,Delhi,University of Delhi,1st,Business Administration,LinkedIn
LD11804,Pune,Symbiosis International University,4th,Biotechnology,College Collaboration
LD11805,Delhi,University of Delhi,4th,Environmental Science,LinkedIn
LD11806,Mumbai,K. J. Somaiya College of Engineering,3rd,Environmental Science,Mass-Mailing
LD11807,Ahmedabad,Gujarat University,3rd,Environmental Science,Mass-Mailing
LD11808,Mumbai,University of Mumbai,2nd,Artificial Intelligence,College Collaboration
LD11809,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Biotechnology,Mass-Mailing
LD11810,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Business Administration,Instagram
LD11811,Ahmedabad,Nirma University,2nd,Environmental Science,College Collaboration
LD11812,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Environmental Science,Whatsapp
LD11813,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Robotics,LinkedIn
LD11814,Pune,Bharati Vidyapeeth Deemed University,3rd,Cybersecurity,LinkedIn
LD11815,Jaipur,Rajasthan Technical University,2nd,Business Administration,College Collaboration
LD11816,Hyderabad,Indian School of Business (ISB),4th,Artificial Intelligence,Mass-Mailing
LD11817,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,Instagram
LD11818,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Artificial Intelligence,Google Form
LD11819,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Cybersecurity,Instagram
LD11820,Chennai,Loyola College,4th,Environmental Science,Instagram
LD11821,Hyderabad,Indian School of Business (ISB),3rd,Business Administration,Whatsapp
LD11822,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Electric Vehicles,Mass-Mailing
LD11823,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Data Science,Google Form
LD11824,Chennai,Loyola College,3rd,Data Science,LinkedIn
LD11825,Kolkata,Jadavpur University,1st,Data Science,Mass-Mailing
LD11826,Delhi,University of Delhi,4th,Robotics,Google Form
LD11827,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Business Administration,Instagram
LD11828,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Biotechnology,Google Form
LD11829,Ahmedabad,Nirma University,1st,Data Science,Instagram
LD11830,Kolkata,University of Calcutta,1st,Environmental Science,LinkedIn
LD11831,Pune,Bharati Vidyapeeth Deemed University,4th,Cybersecurity,College Collaboration
LD11832,Delhi,University of Delhi,2nd,Data Science,College Collaboration
LD11833,Bengaluru,RV College of Engineering,2nd,Data Science,Google Form
LD11834,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Electric Vehicles,College Collaboration
LD11835,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Cybersecurity,LinkedIn
LD11836,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Robotics,LinkedIn
LD11837,Bengaluru,RV College of Engineering,1st,Robotics,College Collaboration
LD11838,Ahmedabad,Gujarat University,3rd,Biotechnology,College Collaboration
LD11839,Kolkata,Indian Statistical Institute,3rd,Data Science,Google Form
LD11840,Chennai,Vellore Institute of Technology (VIT),3rd,Data Science,Instagram
LD11841,Jaipur,Rajasthan Technical University,4th,Data Science,College Collaboration
LD11842,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Cybersecurity,College Collaboration
LD11843,Delhi,Guru Gobind Singh Indraprastha University,1st,Artificial Intelligence,Instagram
LD11844,Mumbai,St. Xavier's College,4th,Artificial Intelligence,LinkedIn
LD11845,Pune,Bharati Vidyapeeth Deemed University,4th,Business Administration,College Collaboration
LD11846,Hyderabad,Osmania University,2nd,Environmental Science,Google Form
LD11847,Delhi,Jamia Millia Islamia,4th,Artificial Intelligence,Instagram
LD11848,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,LinkedIn
LD11849,Indore,Indian Institute of Management Indore (IIM-I),4th,Business Administration,LinkedIn
LD11850,Ahmedabad,Nirma University,3rd,Robotics,Instagram
LD11851,Ahmedabad,Nirma University,3rd,Cybersecurity,Google Form
LD11852,Kolkata,Presidency University,2nd,Business Administration,College Collaboration
LD11853,Delhi,Jamia Millia Islamia,2nd,Artificial Intelligence,College Collaboration
LD11854,Bengaluru,Bangalore Institute of Technology,2nd,Cybersecurity,College Collaboration
LD11855,Delhi,Lady Shri Ram College for Women,2nd,Artificial Intelligence,College Collaboration
LD11856,Hyderabad,Indian School of Business (ISB),4th,Business Administration,Google Form
LD11857,Bengaluru,RV College of Engineering,4th,Biotechnology,LinkedIn
LD11858,Ahmedabad,Gujarat University,2nd,Data Science,Instagram
LD11859,Bengaluru,Indian Institute of Management Bangalore (IIM-B),3rd,Business Administration,College Collaboration
LD11860,Ahmedabad,Nirma University,3rd,Electric Vehicles,Instagram
LD11861,Kolkata,Jadavpur University,1st,Data Science,Instagram
LD11862,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Business Administration,Mass-Mailing
LD11863,Delhi,University of Delhi,2nd,Environmental Science,Google Form
LD11864,Bengaluru,Christ University,3rd,Cybersecurity,LinkedIn
LD11865,Ahmedabad,Nirma University,3rd,Robotics,LinkedIn
LD11866,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Robotics,Instagram
LD11867,Ahmedabad,Gujarat University,2nd,Data Science,Instagram
LD11868,Hyderabad,Osmania University,2nd,Business Administration,LinkedIn
LD11869,Delhi,University of Delhi,2nd,Business Administration,LinkedIn
LD11870,Kolkata,Presidency University,2nd,Environmental Science,LinkedIn
LD11871,Hyderabad,Indian School of Business (ISB),4th,Business Administration,Whatsapp
LD11872,Chennai,SRM Institute of Science and Technology,1st,Business Administration,Instagram
LD11873,Ahmedabad,Nirma University,1st,Artificial Intelligence,LinkedIn
LD11874,Indore,Indian Institute of Management Indore (IIM-I),4th,Cybersecurity,Google Form
LD11875,Mumbai,St. Xavier's College,2nd,Environmental Science,Instagram
LD11876,Pune,University of Pune (Savitribai Phule Pune University),2nd,Environmental Science,Instagram
LD11877,Mumbai,Sardar Patel Institute of Technology,2nd,Artificial Intelligence,Whatsapp
LD11878,Jaipur,Rajasthan Technical University,3rd,Business Administration,College Collaboration
LD11879,Indore,Devi Ahilya Vishwavidyalaya,4th,Environmental Science,LinkedIn
LD11880,Ahmedabad,Nirma University,4th,Artificial Intelligence,Whatsapp
LD11881,Pune,Bharati Vidyapeeth Deemed University,2nd,Data Science,College Collaboration
LD11882,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Artificial Intelligence,College Collaboration
LD11883,Ahmedabad,Gujarat University,3rd,Biotechnology,College Collaboration
LD11884,Mumbai,Mithibai College,3rd,Environmental Science,LinkedIn
LD11885,Mumbai,St. Xavier's College,4th,Biotechnology,LinkedIn
LD11886,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Artificial Intelligence,Mass-Mailing
LD11887,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,Google Form
LD11888,Pune,Bharati Vidyapeeth Deemed University,3rd,Environmental Science,College Collaboration
LD11889,Ahmedabad,Gujarat University,4th,Cybersecurity,LinkedIn
LD11890,Hyderabad,Osmania University,3rd,Environmental Science,LinkedIn
LD11891,Ahmedabad,Gujarat University,1st,Business Administration,Mass-Mailing
LD11892,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Cybersecurity,LinkedIn
LD11893,Chennai,SRM Institute of Science and Technology,1st,Data Science,LinkedIn
LD11894,Ahmedabad,Nirma University,4th,Artificial Intelligence,LinkedIn
LD11895,Mumbai,Indian Institute of Technology Bombay (IIT-B),1st,Artificial Intelligence,Mass-Mailing
LD11896,Hyderabad,Indian School of Business (ISB),2nd,Data Science,Mass-Mailing
LD11897,Kolkata,Presidency University,2nd,Business Administration,Instagram
LD11898,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Electric Vehicles,Google Form
LD11899,Ahmedabad,Nirma University,2nd,Robotics,Google Form
LD11900,Kolkata,Indian Statistical Institute,2nd,Biotechnology,Google Form
LD11901,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Cybersecurity,College Collaboration
LD11902,Chennai,Loyola College,2nd,Electric Vehicles,Google Form
LD11903,Ahmedabad,Gujarat University,2nd,Business Administration,Whatsapp
LD11904,Mumbai,Mithibai College,3rd,Business Administration,Mass-Mailing
LD11905,Bengaluru,PES University,2nd,Biotechnology,College Collaboration
LD11906,Delhi,Delhi Technological University (DTU),3rd,Artificial Intelligence,Mass-Mailing
LD11907,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Electric Vehicles,LinkedIn
LD11908,Jaipur,Malaviya National Institute of Technology (MNIT),1st,Business Administration,Google Form
LD11909,Mumbai,St. Xavier's College,3rd,Cybersecurity,College Collaboration
LD11910,Jaipur,Rajasthan Technical University,3rd,Environmental Science,Whatsapp
LD11911,Ahmedabad,Nirma University,2nd,Cybersecurity,College Collaboration
LD11912,Jaipur,Rajasthan Technical University,2nd,Data Science,Mass-Mailing
LD11913,Chennai,Vellore Institute of Technology (VIT),4th,Environmental Science,Mass-Mailing
LD11914,Bengaluru,Bangalore Institute of Technology,2nd,Artificial Intelligence,College Collaboration
LD11915,Hyderabad,Osmania University,2nd,Biotechnology,College Collaboration
LD11916,Jaipur,Rajasthan Technical University,1st,Business Administration,LinkedIn
LD11917,Hyderabad,International Institute of Information Technology (IIIT-H),4th,Cybersecurity,LinkedIn
LD11918,Pune,MIT World Peace University,1st,Robotics,College Collaboration
LD11919,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Biotechnology,Mass-Mailing
LD11920,Ahmedabad,Gujarat University,4th,Robotics,Instagram
LD11921,Bengaluru,PES University,2nd,Cybersecurity,College Collaboration
LD11922,Delhi,University of Delhi,2nd,Environmental Science,Mass-Mailing
LD11923,Indore,Indian Institute of Management Indore (IIM-I),2nd,Environmental Science,College Collaboration
LD11924,Delhi,Jamia Millia Islamia,2nd,Environmental Science,College Collaboration
LD11925,Pune,University of Pune (Savitribai Phule Pune University),3rd,Artificial Intelligence,Google Form
LD11926,Ahmedabad,Nirma University,3rd,Artificial Intelligence,Whatsapp
LD11927,Delhi,Jawaharlal Nehru University (JNU),3rd,Biotechnology,LinkedIn
LD11928,Delhi,Guru Gobind Singh Indraprastha University,2nd,Environmental Science,LinkedIn
LD11929,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,College Collaboration
LD11930,Ahmedabad,Gujarat University,3rd,Cybersecurity,Instagram
LD11931,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Cybersecurity,College Collaboration
LD11932,Chennai,Anna University,2nd,Data Science,Instagram
LD11933,Chennai,SRM Institute of Science and Technology,4th,Business Administration,College Collaboration
LD11934,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Artificial Intelligence,LinkedIn
LD11935,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Data Science,College Collaboration
LD11936,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Data Science,Mass-Mailing
LD11937,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,College Collaboration
LD11938,Mumbai,Sardar Patel Institute of Technology,3rd,Cybersecurity,College Collaboration
LD11939,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Biotechnology,LinkedIn
LD11940,Mumbai,University of Mumbai,2nd,Data Science,LinkedIn
LD11941,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Data Science,LinkedIn
LD11942,Bengaluru,Bangalore Institute of Technology,4th,Environmental Science,LinkedIn
LD11943,Hyderabad,Indian School of Business (ISB),4th,Biotechnology,College Collaboration
LD11944,Kolkata,University of Calcutta,4th,Business Administration,Whatsapp
LD11945,Delhi,Delhi Technological University (DTU),2nd,Data Science,College Collaboration
LD11946,Pune,University of Pune (Savitribai Phule Pune University),1st,Environmental Science,Instagram
LD11947,Mumbai,K. J. Somaiya College of Engineering,2nd,Electric Vehicles,Mass-Mailing
LD11948,Kolkata,Presidency University,2nd,Environmental Science,College Collaboration
LD11949,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,Instagram
LD11950,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Environmental Science,Google Form
LD11951,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,LinkedIn
LD11952,Kolkata,Presidency University,4th,Robotics,College Collaboration
LD11953,Indore,Indian Institute of Management Indore (IIM-I),2nd,Data Science,LinkedIn
LD11954,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,Whatsapp
LD11955,Ahmedabad,Gujarat University,4th,Robotics,LinkedIn
LD11956,Bengaluru,Indian Institute of Science (IISc),3rd,Environmental Science,College Collaboration
LD11957,Pune,Bharati Vidyapeeth Deemed University,1st,Biotechnology,Google Form
LD11958,Delhi,Delhi Technological University (DTU),2nd,Environmental Science,College Collaboration
LD11959,Kolkata,Jadavpur University,1st,Environmental Science,LinkedIn
LD11960,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Environmental Science,LinkedIn
LD11961,Mumbai,K. J. Somaiya College of Engineering,2nd,Artificial Intelligence,College Collaboration
LD11962,Ahmedabad,Nirma University,2nd,Artificial Intelligence,Instagram
LD11963,Kolkata,Presidency University,1st,Business Administration,Google Form
LD11964,Mumbai,Tata Institute of Social Sciences (TISS),1st,Robotics,LinkedIn
LD11965,Jaipur,Rajasthan Technical University,3rd,Data Science,College Collaboration
LD11966,Chennai,Anna University,3rd,Data Science,College Collaboration
LD11967,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Electric Vehicles,Whatsapp
LD11968,Jaipur,Rajasthan Technical University,3rd,Robotics,LinkedIn
LD11969,Pune,Bharati Vidyapeeth Deemed University,1st,Electric Vehicles,Google Form
LD11970,Mumbai,Tata Institute of Social Sciences (TISS),1st,Biotechnology,Google Form
LD11971,Kolkata,Presidency University,4th,Business Administration,LinkedIn
LD11972,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Data Science,LinkedIn
LD11973,Chennai,Madras Christian College,4th,Artificial Intelligence,Google Form
LD11974,Delhi,Delhi Technological University (DTU),2nd,Biotechnology,LinkedIn
LD11975,Mumbai,Mithibai College,2nd,Robotics,LinkedIn
LD11976,Delhi,Lady Shri Ram College for Women,2nd,Electric Vehicles,LinkedIn
LD11977,Pune,MIT World Peace University,4th,Cybersecurity,College Collaboration
LD11978,Delhi,Delhi Technological University (DTU),3rd,Electric Vehicles,College Collaboration
LD11979,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD11980,Kolkata,Indian Statistical Institute,2nd,Environmental Science,Instagram
LD11981,Indore,Indian Institute of Management Indore (IIM-I),3rd,Robotics,College Collaboration
LD11982,Ahmedabad,Nirma University,3rd,Artificial Intelligence,College Collaboration
LD11983,Pune,University of Pune (Savitribai Phule Pune University),3rd,Business Administration,Google Form
LD11984,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Robotics,LinkedIn
LD11985,Kolkata,Jadavpur University,2nd,Artificial Intelligence,LinkedIn
LD11986,Mumbai,St. Xavier's College,3rd,Biotechnology,Google Form
LD11987,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Robotics,Google Form
LD11988,Chennai,SRM Institute of Science and Technology,3rd,Artificial Intelligence,LinkedIn
LD11989,Delhi,Jawaharlal Nehru University (JNU),2nd,Robotics,College Collaboration
LD11990,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Environmental Science,Instagram
LD11991,Ahmedabad,Nirma University,3rd,Data Science,Instagram
LD11992,Delhi,Guru Gobind Singh Indraprastha University,2nd,Business Administration,Whatsapp
LD11993,Ahmedabad,Nirma University,4th,Cybersecurity,College Collaboration
LD11994,Delhi,Jawaharlal Nehru University (JNU),3rd,Data Science,Whatsapp
LD11995,Hyderabad,Indian School of Business (ISB),4th,Robotics,Instagram
LD11996,Delhi,Lady Shri Ram College for Women,2nd,Data Science,LinkedIn
LD11997,Chennai,Madras Christian College,2nd,Business Administration,LinkedIn
LD11998,Chennai,Anna University,3rd,Environmental Science,College Collaboration
LD11999,Pune,Symbiosis International University,4th,Artificial Intelligence,Mass-Mailing
LD12000,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Electric Vehicles,Instagram
LD12001,Hyderabad,Indian School of Business (ISB),2nd,Cybersecurity,College Collaboration
LD12002,Ahmedabad,Gujarat University,3rd,Electric Vehicles,LinkedIn
LD12003,Delhi,University of Delhi,2nd,Biotechnology,Instagram
LD12004,Hyderabad,Osmania University,2nd,Biotechnology,Whatsapp
LD12005,Delhi,University of Delhi,2nd,Cybersecurity,Whatsapp
LD12006,Delhi,Guru Gobind Singh Indraprastha University,3rd,Environmental Science,College Collaboration
LD12007,Chennai,SRM Institute of Science and Technology,2nd,Artificial Intelligence,LinkedIn
LD12008,Bengaluru,Christ University,3rd,Cybersecurity,LinkedIn
LD12009,Chennai,SRM Institute of Science and Technology,2nd,Cybersecurity,Google Form
LD12010,Ahmedabad,Nirma University,3rd,Biotechnology,College Collaboration
LD12011,Pune,Bharati Vidyapeeth Deemed University,3rd,Environmental Science,Mass-Mailing
LD12012,Kolkata,University of Calcutta,3rd,Cybersecurity,LinkedIn
LD12013,Delhi,Lady Shri Ram College for Women,2nd,Robotics,Google Form
LD12014,Chennai,Madras Christian College,2nd,Data Science,Instagram
LD12015,Ahmedabad,Gujarat University,2nd,Data Science,LinkedIn
LD12016,Hyderabad,University of Hyderabad,3rd,Cybersecurity,Instagram
LD12017,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Cybersecurity,Instagram
LD12018,Pune,Symbiosis International University,2nd,Data Science,LinkedIn
LD12019,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Data Science,College Collaboration
LD12020,Bengaluru,Indian Institute of Management Bangalore (IIM-B),4th,Business Administration,Instagram
LD12021,Bengaluru,Christ University,3rd,Cybersecurity,Instagram
LD12022,Delhi,Indian Institute of Technology Delhi (IIT-D),1st,Biotechnology,Instagram
LD12023,Delhi,Lady Shri Ram College for Women,3rd,Artificial Intelligence,LinkedIn
LD12024,Hyderabad,Osmania University,2nd,Environmental Science,College Collaboration
LD12025,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Robotics,LinkedIn
LD12026,Delhi,University of Delhi,2nd,Data Science,Google Form
LD12027,Chennai,SRM Institute of Science and Technology,2nd,Data Science,College Collaboration
